0.000 1087.660
0.000
493730.011 3410135.809 352.504
10
493730.011 3410135.809 352.504 2
493730.585 3410143.287 352.954 2
493730.643 3410144.035 352.931 5
493731.562 3410156.000 344.931 6
493731.715 3410157.993 344.871 6
493732.302 3410165.635 340.492 6
493732.379 3410166.632 340.462 6
493732.379 3410166.632 339.962 7
493732.417 3410167.130 339.962 7
493732.417 3410167.130 340.827 7
3
493730.011 3410135.809 352.504 2
493729.436 3410128.331 352.054 2
493729.379 3410127.584 352.009 5
5.000
493734.983 3410135.290 352.329
3
493734.983 3410135.290 352.329 2
493735.962 3410142.725 352.752 2
493736.060 3410143.469 352.729 5
3
493734.983 3410135.290 352.329 2
493734.004 3410127.854 351.906 2
493733.906 3410127.110 351.864 5
10.000
493739.921 3410134.508 352.154
3
493739.921 3410134.508 352.154 2
493741.284 3410141.882 352.549 2
493741.420 3410142.619 352.527 5
3
493739.921 3410134.508 352.154 2
493738.558 3410127.132 351.758 2
493738.422 3410126.394 351.719 5
15.000
493744.813 3410133.478 351.979
3
493744.813 3410133.478 351.979 2
493746.537 3410140.775 352.347 2
493746.709 3410141.504 352.324 5
3
493744.813 3410133.478 351.979 2
493743.088 3410126.177 351.611 2
493742.916 3410125.447 351.574 5
20.000
493749.650 3410132.214 351.804
3
493749.650 3410132.214 351.804 2
493751.713 3410139.422 352.145 2
493751.919 3410140.143 352.122 5
3
493749.650 3410132.214 351.804 2
493747.586 3410125.001 351.463 2
493747.380 3410124.280 351.429 5
25.000
493754.425 3410130.732 351.629
3
493754.425 3410130.732 351.629 2
493756.804 3410137.841 351.942 2
493757.042 3410138.552 351.920 5
3
493754.425 3410130.732 351.629 2
493752.044 3410123.616 351.315 2
493751.806 3410122.905 351.284 5
30.000
493759.132 3410129.046 351.454
3
493759.132 3410129.046 351.454 2
493761.805 3410136.049 351.740 2
493762.072 3410136.750 351.718 5
3
493759.132 3410129.046 351.454 2
493756.457 3410122.035 351.167 2
493756.189 3410121.335 351.139 5
35.000
493763.767 3410127.172 351.279
3
493763.767 3410127.172 351.279 2
493766.711 3410134.064 351.538 2
493767.006 3410134.754 351.515 5
3
493763.767 3410127.172 351.279 2
493760.819 3410120.271 351.020 2
493760.525 3410119.581 350.994 5
40.000
493768.328 3410125.123 351.104
3
493768.328 3410125.123 351.104 2
493771.522 3410131.903 351.335 2
493771.842 3410132.581 351.313 5
3
493768.328 3410125.123 351.104 2
493765.129 3410118.334 350.872 2
493764.810 3410117.656 350.849 5
45.000
493772.813 3410122.914 350.929
3
493772.813 3410122.914 350.929 2
493776.237 3410129.581 351.133 2
493776.579 3410130.249 351.111 5
3
493772.813 3410122.914 350.929 2
493769.385 3410116.238 350.724 2
493769.042 3410115.571 350.702 5
50.000
493777.224 3410120.559 350.754
3
493777.224 3410120.559 350.754 2
493780.856 3410127.115 350.931 2
493781.220 3410127.771 350.908 5
3
493777.224 3410120.559 350.754 2
493773.587 3410113.995 350.577 2
493773.223 3410113.339 350.554 5
55.000
493781.561 3410118.072 350.579
10
493781.561 3410118.072 350.579 2
493785.382 3410124.520 350.729 2
493785.765 3410125.165 350.706 5
493785.765 3410125.165 350.206 7
493786.019 3410125.595 350.206 7
493786.019 3410125.595 350.706 7
493786.529 3410126.455 350.736 8
493790.353 3410132.907 360.736 8
493791.372 3410134.627 360.796 8
